date,state,second_doses,full_per,change,as_at
2021-11-22,vic,5080634,88.88,0.4,2021-12-24
2021-11-23,act,355508,97.74,0.14,2021-12-24
2021-11-23,qld,3189291,72.77,0.46,2021-12-24
2021-11-23,nsw,6341726,91.17,0.11,2021-12-24
2021-11-23,vic,5092441,89.09,0.21,2021-12-24
2021-11-24,act,355875,97.84,0.1,2021-12-24
2021-11-24,qld,3208401,73.2,0.43,2021-12-24
2021-11-24,nsw,6348980,91.27,0.1,2021-12-24
2021-11-24,vic,5105511,89.32,0.23,2021-12-24
2021-11-25,act,356144,97.91,0.07,2021-12-24
2021-11-25,qld,3226155,73.61,0.41,2021-12-24
2021-11-25,nsw,6355156,91.36,0.09,2021-12-24
2021-11-25,vic,5118977,89.55,0.23,2021-12-24
2021-11-26,act,356535,98.02,0.11,2021-12-24
2021-11-26,qld,3244351,74.02,0.41,2021-12-24
2021-11-26,nsw,6362348,91.47,0.11,2021-12-24
2021-11-26,vic,5132289,89.79,0.24,2021-12-24
2021-11-27,act,356702,98.07,0.05,2021-12-24
2021-11-27,qld,3253519,74.23,0.21,2021-12-24
2021-11-27,nsw,6365073,91.51,0.04,2021-12-24
2021-11-27,vic,5138001,89.89,0.1,2021-12-24
2021-11-28,act,356889,98.12,0.05,2021-12-24
2021-11-28,qld,3261586,74.42,0.19,2021-12-24
2021-11-28,nsw,6366060,91.52,0.01,2021-12-24
2021-11-28,vic,5140389,89.93,0.04,2021-12-24
2021-11-29,act,357214,98.21,0.09,2021-12-24
2021-11-29,qld,3278512,74.8,0.38,2021-12-24
2021-11-29,nsw,6372197,91.61,0.09,2021-12-24
2021-11-29,vic,5150117,90.1,0.17,2021-12-24
2021-11-30,act,357554,98.3,0.09,2021-12-24
2021-11-30,qld,3294796,75.17,0.37,2021-12-24
2021-11-30,nsw,6378225,91.69,0.08,2021-12-24
2021-11-30,vic,5157204,90.22,0.12,2021-12-24
2021-12-01,act,357791,98.37,0.07,2021-12-24
2021-12-01,qld,3312997,75.59,0.42,2021-12-24
2021-12-01,nsw,6383068,91.76,0.07,2021-12-24
2021-12-01,vic,5164106,90.34,0.12,2021-12-24
2021-12-02,act,357991,98.42,0.05,2021-12-24
2021-12-02,qld,3334802,76.09,0.5,2021-12-24
2021-12-02,nsw,6387955,91.83,0.07,2021-12-24
2021-12-02,vic,5170961,90.46,0.12,2021-12-24
2021-12-03,act,358273,98.5,0.08,2021-12-24
2021-12-03,qld,3355749,76.57,0.48,2021-12-24
2021-12-03,nsw,6393476,91.91,0.08,2021-12-24
2021-12-03,vic,5177589,90.58,0.12,2021-12-24
2021-12-04,act,358420,98.54,0.04,2021-12-24
2021-12-04,qld,3368151,76.85,0.28,2021-12-24
2021-12-04,nsw,6395543,91.94,0.03,2021-12-24
2021-12-04,vic,5181024,90.64,0.06,2021-12-24
2021-12-05,act,358519,98.57,0.03,2021-12-24
2021-12-05,qld,3378661,77.09,0.24,2021-12-24
2021-12-05,nsw,6396368,91.95,0.01,2021-12-24
2021-12-05,vic,5182475,90.66,0.02,2021-12-24
2021-12-06,act,358766,98.64,0.07,2021-12-24
2021-12-06,qld,3398748,77.55,0.46,2021-12-24
2021-12-06,nsw,6400706,92.02,0.07,2021-12-24
2021-12-06,vic,5188271,90.76,0.1,2021-12-24
2021-12-07,act,358999,98.7,0.06,2021-12-24
2021-12-07,qld,3419829,78.03,0.48,2021-12-24
2021-12-07,nsw,6405004,92.08,0.06,2021-12-24
2021-12-07,vic,5193385,90.85,0.09,2021-12-24
2021-12-08,act,359161,98.74,0.04,2021-12-24
2021-12-08,qld,3442956,78.56,0.53,2021-12-24
2021-12-08,nsw,6409218,92.14,0.06,2021-12-24
2021-12-08,vic,5198560,90.94,0.09,2021-12-24
2021-12-09,act,359297,98.78,0.04,2021-12-24
2021-12-09,qld,3465414,79.07,0.51,2021-12-24
2021-12-09,nsw,6413287,92.2,0.06,2021-12-24
2021-12-09,vic,5203521,91.03,0.09,2021-12-24
2021-12-10,act,359515,98.84,0.06,2021-12-24
2021-12-10,qld,3481659,79.44,0.37,2021-12-24
2021-12-10,nsw,6417289,92.26,0.06,2021-12-24
2021-12-10,vic,5209033,91.13,0.1,2021-12-24
2021-12-11,act,359625,98.87,0.03,2021-12-24
2021-12-11,qld,3492584,79.69,0.25,2021-12-24
2021-12-11,nsw,6418911,92.28,0.02,2021-12-24
2021-12-11,vic,5211491,91.17,0.04,2021-12-24
2021-12-12,act,359653,98.88,0.01,2021-12-24
2021-12-12,qld,3495446,79.75,0.06,2021-12-24
2021-12-12,nsw,6419310,92.28,0,2021-12-24
2021-12-12,vic,5212383,91.19,0.02,2021-12-24
2021-12-13,act,359854,98.93,0.05,2021-12-24
2021-12-13,qld,3528945,80.52,0.77,2021-12-24
2021-12-13,nsw,6422891,92.34,0.06,2021-12-24
2021-12-13,vic,5217327,91.27,0.08,2021-12-24
2021-12-14,act,360059,98.99,0.06,2021-12-24
2021-12-14,qld,3552024,81.04,0.52,2021-12-24
2021-12-14,nsw,6426296,92.39,0.05,2021-12-24
2021-12-14,vic,5221774,91.35,0.08,2021-12-24
2021-12-15,act,360205,99.03,0.04,2021-12-24
2021-12-15,qld,3574620,81.56,0.52,2021-12-24
2021-12-15,nsw,6429276,92.43,0.04,2021-12-24
2021-12-15,vic,5226264,91.43,0.08,2021-12-24
2021-12-16,act,360392,99.08,0.05,2021-12-24
2021-12-16,qld,3599099,82.12,0.56,2021-12-24
2021-12-16,nsw,6432466,92.47,0.04,2021-12-24
2021-12-16,vic,5230468,91.5,0.07,2021-12-24
2021-12-17,act,360565,99.13,0.05,2021-12-24
2021-12-17,qld,3625174,82.71,0.59,2021-12-24
2021-12-17,nsw,6435466,92.52,0.05,2021-12-24
2021-12-17,vic,5234686,91.58,0.08,2021-12-24
2021-12-18,act,360650,99.15,0.02,2021-12-24
2021-12-18,qld,3638089,83.01,0.3,2021-12-24
2021-12-18,nsw,6436676,92.53,0.01,2021-12-24
2021-12-18,vic,5236438,91.61,0.03,2021-12-24
2021-12-19,act,360700,99.17,0.02,2021-12-24
2021-12-19,qld,3646382,83.2,0.19,2021-12-24
2021-12-19,nsw,6437227,92.54,0.01,2021-12-24
2021-12-19,vic,5237300,91.62,0.01,2021-12-24
2021-12-20,act,360818,99.2,0.03,2021-12-24
2021-12-20,qld,3661972,83.55,0.35,2021-12-24
2021-12-20,nsw,6439675,92.58,0.04,2021-12-24
2021-12-20,vic,5241103,91.69,0.07,2021-12-24
2021-12-21,act,360988,99.25,0.05,2021-12-24
2021-12-21,qld,3675751,83.87,0.32,2021-12-24
2021-12-21,nsw,6441894,92.61,0.03,2021-12-24
2021-12-21,vic,5244677,91.75,0.06,2021-12-24
2021-12-22,act,361106,99.28,0.03,2021-12-24
2021-12-22,qld,3688686,84.16,0.29,2021-12-24
2021-12-22,nsw,6444119,92.64,0.03,2021-12-24
2021-12-22,vic,5248038,91.81,0.06,2021-12-24
